"","Virtue","O","C","E","A","N"
"1","Appreciation","14.97","19.56","16.76","24.75","-16.88"
"2","Fairness","11.34","7.56","13","14.4","-11.37"
"3","Persistence","14.58","24.41","13.03","27.05","-15.75"
"4","Creativity","13.78","17.45","19.04","17.83","-9.74"
"5","Love","9.04","13.76","9.68","15.08","-7.85"
"6","Self-Regulation","9.71","13.8","12.9","22.47","-14.89"
"7","Gratitude","22.83","39.47","21.67","40.8","-22.94"
"8","Leadership","11.71","17.54","11.62","20.79","-12.97"
"9","Judgment","15.24","14.92","14.05","19.12","-14.28"
"10","SocialIntelligence","9.23","5.37","7.07","12.66","-12.15"
"11","Forgiveness","17.55","22.32","17.14","26.51","-19.14"
"12","Spirituality","12.44","6.2","13.05","16.5","-16.38"
"13","Teamwork","8.49","16.87","7.8","19.28","-9.79"
"14","Bravery","12.34","14.93","9.99","17.13","-13.58"
"15","Curiosity","25.85","24.74","22.26","27.35","-22.16"
"16","Kindness","16.95","14.06","15.29","16.53","-15.27"
"17","Hope","9.43","8.83","9.27","14.38","-8.71"
"18","Integrity","15.81","15.17","16.85","20.24","-14.04"
"19","Perspective","4.56","9.51","2.7","5.65","1.19"
"20","Prudence","15.65","21.68","14.13","24.17","-15.04"
"21","Humor","11.2","15.58","9.96","18.76","-14.18"
"22","Humility","9.97","14.86","9.81","20.11","-13.19"
"23","LoveOfLearning","20.84","20.62","23.13","27.14","-20"
"24","Zest","19.44","26.25","16.56","27.95","-21.38"
